user_id,ut_id,suburb,state,postcode,employment_type,active,modified_time,comments,app_version,device_os,device_os_version,app_timezone,last_logged_in
1136,2,,,,1,1,2020-11-10 04:35:37,,5.37.1,web,Netscape 5.0 (iPhone; CPU iPho,-600,2021-05-03 03:27:58
1137,3,,,,,0,2019-08-17 14:15:17,,,,,,2019-08-17 14:15:21
1138,3,,,,,0,2019-08-19 02:58:38,,,,,,2019-08-19 02:58:42
1139,3,,,,,0,2019-08-19 02:59:15,,,,,,2019-08-19 02:59:19
1140,2,,,,,1,2019-08-19 03:06:48,,4.3.0,,,,2019-08-19 03:06:51
1141,3,,,,,0,2019-08-19 06:09:13,,,,,,2019-08-19 06:09:18
1142,3,,,,,0,2019-08-19 06:10:26,,,,,,2019-08-19 06:10:30
1143,3,,,,3,1,2019-09-26 23:31:19,,,,,,2020-02-20 03:55:35
1144,2,,,,3,1,2019-08-20 00:20:50,,4.4.9,web,Chrome 74,-600,2019-08-20 23:14:20
1145,2,,,,,1,2019-08-20 00:05:36,,4.3.0,,,,2019-08-20 00:05:40
1146,3,,,,,0,2019-08-20 00:08:12,,,,,,2019-08-20 00:08:15
1147,3,,,,,0,2019-08-20 01:04:26,,,,,,2019-08-20 01:04:29
1148,2,,,,,1,2019-08-20 01:58:01,,4.3.0,,,,2019-08-20 01:58:04
1149,3,,,,,0,2019-08-20 02:43:06,,,,,,2019-08-20 02:43:08
1150,3,,,,,0,2019-08-21 01:47:19,,,,,,2019-08-21 01:47:22
1151,3,,,,,0,2019-08-21 03:00:45,,,,,,2019-08-21 03:00:48
1152,3,,,,,0,2019-08-21 04:47:41,,,,,,2019-08-21 04:47:45
1153,3,,,,,0,2019-08-21 04:51:51,,,,,,2019-08-21 04:51:55
1155,3,,,,1,1,,,,,,,
1156,3,,,,,0,2019-08-22 04:06:44,,,,,,2019-08-22 04:06:47
1157,3,,,,,0,2019-08-23 02:20:34,,,,,,2019-08-23 02:20:43
1158,3,,,,,0,2019-08-23 05:45:58,,,,,,2019-08-23 05:46:00
1159,3,,,,,0,2019-08-26 05:09:14,,,,,,2019-08-26 05:09:16
1160,3,,,,,0,2019-08-26 05:23:46,,,,,,2019-08-26 05:23:48
1161,3,,,,,0,2019-08-26 05:28:38,,,,,,2019-08-26 05:28:41
1162,2,,,,,1,2019-08-26 05:52:17,,4.3.0,,,,2019-08-26 05:52:20
1163,3,,,,,0,2019-08-26 05:55:02,,,,,,2019-08-26 05:55:04
1164,2,,,,,1,2019-08-26 05:57:22,,4.3.0,,,,2019-08-26 05:57:24
1165,2,,,,,1,2019-08-26 06:00:49,,4.3.0,,,,2019-08-26 06:00:52
1166,3,,,,,0,2019-08-26 06:27:42,,,,,,2019-08-26 06:27:48
1168,3,,,,,0,2019-08-26 23:57:21,,,,,,2019-08-26 23:57:27
1169,4,,,,1,0,2019-08-27 01:11:33,,,,,,2019-12-21 10:04:40
1170,3,,,,,0,2019-08-27 04:28:08,,,,,,2019-08-27 04:28:12
1171,3,,,,,0,2019-08-27 04:44:09,,,,,,2019-08-27 04:44:13
1173,3,,,,,0,2019-08-28 00:21:43,,,,,,2019-08-28 00:21:47
1174,3,,,,,0,2019-08-28 02:29:01,,,,,,2019-08-28 02:29:04
1175,3,,,,,0,2019-08-28 03:14:24,,,,,,2019-08-28 03:14:30
1176,2,,,,,1,2019-08-28 03:38:36,,,,,,
1177,2,,,,,1,2019-08-28 03:38:57,,4.3.0,,,,2019-08-28 03:38:59
1178,3,,,,,0,2019-08-28 03:53:20,,,,,,2019-08-28 03:53:25
1179,2,,,,,1,2019-08-28 04:07:51,,4.3.0,,,,2019-08-28 04:07:53
1180,3,,,,,0,2019-08-28 04:45:51,,,,,,2019-08-28 04:45:55
1181,3,,,,,0,2019-08-28 05:26:54,,,,,,2019-08-28 05:26:57
1182,3,,,,,0,2019-08-28 05:38:02,,,,,,2019-08-28 05:38:05
1183,3,,,,,0,2019-08-29 00:58:26,,,,,,2019-08-29 00:58:33
1184,3,,,,,0,2019-08-29 03:43:56,,,,,,2019-08-29 03:43:59
1185,2,,,,,1,2019-08-29 03:44:08,,4.4.9,web,Chrome 76,-600,2019-08-30 00:48:30
1186,3,,,,,0,2019-08-29 23:29:28,,,,,,2019-08-29 23:29:36
1187,3,,,,,0,2019-08-30 01:01:01,,,,,,2019-08-30 01:01:05
1188,2,,,,,1,2019-08-30 01:14:13,,4.3.0,,,,2019-08-30 01:14:16
1189,3,,,,,0,2019-08-30 01:17:20,,,,,,2019-08-30 01:17:23
1190,3,,,,,0,2019-08-30 05:40:50,,,,,,2019-08-30 05:40:56
1191,3,,,,,0,2019-09-02 23:20:52,,,,,,2019-09-02 23:20:56
1192,3,,,,,0,2019-09-03 01:28:52,,,,,,2019-09-03 01:28:55
1194,3,,,,,0,2019-09-03 06:21:54,,,,,,2019-09-03 06:21:58
1196,3,,,,1,1,2019-09-06 04:58:11,,,,,,2019-10-22 11:45:02
1197,3,,,,,0,2019-09-05 01:05:06,,,,,,2019-09-05 01:05:11
1198,3,,,,,0,2019-09-05 05:26:00,,,,,,2019-09-05 05:26:07
1199,3,,,,1,1,2020-09-23 22:22:16,,,,,,2020-09-23 22:22:49
1200,3,,,,,0,2019-09-05 05:30:22,,,,,,2019-09-05 05:30:26
1201,3,,,,1,1,,,,,,,
1202,3,,,,,0,2019-09-06 01:50:34,,,,,,2019-09-06 01:50:42
1203,3,,,,,0,2019-09-06 02:17:07,,,,,,2019-09-06 02:17:11
1204,2,,,,,0,2019-09-06 03:17:16,,,,,,
1205,2,,,,,0,2019-09-06 03:17:23,,,,,,
1208,2,,,,,0,2019-09-06 03:17:40,,,,,,
1209,2,,,,,1,2019-09-06 03:17:43,,,,,,
1210,3,,,,,1,2019-09-06 03:18:06,,,,,,
1214,2,,,,3,1,2021-03-31 21:38:44,,5.20.0,web,Chrome 85,-600,2020-09-13 22:58:21
1216,2,,,,,1,2019-09-06 03:20:48,,,,,,
1220,2,,,,1,1,2021-04-22 01:38:33,,,,,,
1222,2,,,,,1,2019-09-06 03:23:20,,,,,,
1223,2,,,,,1,2019-09-06 03:23:21,,,,,,
1224,2,,,,,1,2019-09-06 03:23:22,,,,,,
1227,2,,,"",6,1,2020-11-05 23:36:14,,,,,,
1228,2,,,,,0,2019-09-06 03:23:33,,,,,,
1229,2,,,,,0,2019-09-06 03:23:56,,,,,,
1231,2,,,,,0,2019-09-06 03:24:10,,,,,,
1248,2,,,,,1,2019-09-06 03:25:01,,,,,,
1251,2,,,"",3,1,2020-11-06 00:21:41,,,,,,
1264,2,,,,,1,2019-09-06 03:26:22,,,,,,
1270,2,,,"",3,1,2020-11-06 00:21:47,,,,,,
1271,2,,,"",3,1,2020-11-06 00:21:52,,,,,,
1273,2,,,"",3,1,2020-11-06 00:21:59,,,,,,
1274,2,,,"",3,1,2020-11-06 00:19:40,,,,,,
1275,2,,,"",1,1,2020-11-06 00:19:03,,,,,,
1276,2,,,"",3,1,2020-11-06 00:19:33,,,,,,
1277,2,,,"",5,1,2020-11-06 00:19:27,,,,,,
1278,2,,,"",6,1,2020-11-06 00:19:08,,,,,,
1279,2,,,"",9,1,2020-11-06 00:19:20,,,,,,
1280,2,,,"",10,1,2020-11-06 00:19:14,,,,,,
1281,2,,,"",3,1,2020-11-06 00:22:05,,,,,,
1282,2,,,,,1,2019-09-06 03:29:08,,,,,,
1283,2,,,,,1,2019-09-06 03:29:09,,,,,,
1284,2,,,,,1,2019-09-06 03:29:10,,,,,,
1291,3,,,,,1,2019-09-06 03:29:24,,,,,,
1305,2,,,,,1,2019-09-06 03:30:01,,,,,,
1346,2,,,,,1,2019-09-06 03:30:41,,,,,,
